Response,Cooperative_tendencies,Group,Sex,Observation_effort,Individual
11,-0.376943198,Ekalakala,female,8.517593111,Ind3
3,0.737917868,Ekalakala,female,8.475746002,Ind23
1,-0.98721007,Ekalakala,female,8.345930262,Ind2
31,-0.182016723,Ekalakala,female,8.420462002,Ind14
11,0.619859437,Ekalakala,male,8.428143375,Ind27
39,1.511991709,Ekalakala,female,8.629449874,Ind30
16,-0.06887441,Ekalakala,female,8.562740006,Ind7
55,1.163472336,Ekalakala,male,8.542860938,Ind19
6,-0.872373366,Ekalakala,male,7.971085754,Ind12
10,-0.858317086,Ekalakala,female,7.932362154,Ind26
21,-0.563707962,Ekalakala,female,7.952615112,Ind21
12,0.690076944,Kokoalongo,male,7.898411093,Ind4
2,0.337355329,Kokoalongo,female,7.890956716,Ind1
2,-0.432404011,Kokoalongo,female,8.03592637,Ind18
9,0.945237261,Kokoalongo,female,7.901377354,Ind10
1,-0.600032696,Kokoalongo,male,7.436617265,Ind9
5,0.127083029,Kokoalongo,female,8.0730912,Ind17
6,-0.027500077,Kokoalongo,male,7.601402335,Ind22
3,-0.353218745,Kokoalongo,male,8.154500175,Ind16
16,-0.500086723,Kokoalongo,female,8.151044946,Ind28
4,-0.962503427,Kokoalongo,female,7.091742115,Ind15
20,-1.267321112,Kokoalongo,female,8.095293777,Ind6
12,-0.200669627,Kokoalongo,female,7.983098941,Ind20
6,-0.92757494,Kokoalongo,female,7.867488569,Ind24
16,-1.065044489,Kokoalongo,female,7.950854858,Ind8
1,-1.204197339,Kokoalongo,male,7.560601163,Ind31
1,-1.242422291,Kokoalongo,male,7.333023014,Ind25
2,2.930199365,Kokoalongo,male,8.14786713,Ind13
36,0.645960441,Kokoalongo,female,8.169619562,Ind29
40,2.653857516,Kokoalongo,female,7.989899375,Ind11
10,0.67829384,Kokoalongo,female,8.021912779,Ind5
19,-0.376943198,Ekalakala,female,8.021912779,Ind3
29,0.737917868,Ekalakala,female,8.021912779,Ind23
10,-0.98721007,Ekalakala,female,8.021912779,Ind2
28,-0.182016723,Ekalakala,female,8.021912779,Ind14
28,0.619859437,Ekalakala,male,8.021912779,Ind27
17,1.511991709,Ekalakala,female,8.021912779,Ind30
34,-0.06887441,Ekalakala,female,8.021912779,Ind7
66,1.163472336,Ekalakala,male,8.021912779,Ind19
25,-0.872373366,Ekalakala,male,8.021912779,Ind12
25,-0.858317086,Ekalakala,female,8.021912779,Ind26
10,-0.563707962,Ekalakala,female,8.021912779,Ind21
15,0.690076944,Kokoalongo,male,8.021912779,Ind4
1,0.337355329,Kokoalongo,female,8.021912779,Ind1
6,-0.432404011,Kokoalongo,female,8.021912779,Ind18
4,0.945237261,Kokoalongo,female,8.021912779,Ind10
0,-0.600032696,Kokoalongo,male,8.021912779,Ind9
7,0.127083029,Kokoalongo,female,8.021912779,Ind17
6,-0.353218745,Kokoalongo,male,8.021912779,Ind16
29,-0.500086723,Kokoalongo,female,8.021912779,Ind28
13,-1.267321112,Kokoalongo,female,8.021912779,Ind6
23,-0.200669627,Kokoalongo,female,8.021912779,Ind20
14,-0.92757494,Kokoalongo,female,8.021912779,Ind24
31,-1.065044489,Kokoalongo,female,8.021912779,Ind8
4,-1.204197339,Kokoalongo,male,8.021912779,Ind31
47,0.645960441,Kokoalongo,female,8.021912779,Ind29
80,2.653857516,Kokoalongo,female,8.021912779,Ind11
11,0.67829384,Kokoalongo,female,8.021912779,Ind5
