In_group.out_degree,In_group.in_degree
0.580258784,0.860688158
0.580258784,-0.147155431
0.951750549,1.532583883
0.951750549,1.532583883
1.323242314,0.188792432
1.694734079,1.196636021
1.323242314,1.868531746
1.694734079,0.524740295
-0.534216511,-1.154999019
0.951750549,1.532583883
0.580258784,1.196636021
-1.062125861,-0.783688223
0.111006028,-0.430058894
-0.084515953,-0.076429565
0.502049991,0.277199765
-1.453169824,-1.137317552
-0.280037935,-0.253244229
-0.866603879,-1.314132217
-1.257647843,-0.253244229
0.697571973,-0.076429565
-1.648691806,-1.490946882
0.111006028,-0.960502888
0.111006028,0.630829094
-0.866603879,-0.430058894
0.30652801,0.454014429
-1.062125861,-1.490946882
-1.648691806,-1.490946882
-1.648691806,-1.137317552
0.30652801,0.277199765
-0.280037935,0.630829094
-0.084515953,-0.076429565
